"","Team","Position","Time","Shots","Passes","Tackles","Saves"
"Abdoun","Algeria","Midfielder",16,0,6,0,0
"Abe","Japan","Midfielder",351,0,101,14,0
"Abidal","France","Defender",180,0,91,6,0
"Abou Diaby","France","Midfielder",270,1,111,5,0
"Aboubakar","Cameroon","Forward",46,2,16,0,0
"Abreu","Uruguay","Forward",72,0,15,0,0
"Addy","Ghana","Defender",138,0,51,2,0
"Adiyiah","Ghana","Forward",33,0,9,0,0
"Afellay","Netherlands","Midfielder",21,5,22,0,0
"Afolabi","Nigeria","Defender",103,0,38,1,0
"Agger","Denmark","Defender",270,2,120,10,0
"Aguilar","Mexico","Defender",55,0,31,2,0
"Aguero","Argentina","Forward",106,2,57,2,0
"Ahn Young-Hak","North Korea","Midfielder",270,1,123,11,0
"Alcaraz","Paraguay","Defender",390,1,172,13,0
"Alexandre Song","Cameroon","Midfielder",90,1,59,7,0
"Almeida","Portugal","Forward",136,5,42,3,0
"Alonso","Spain","Midfielder",506,9,465,18,0
"Alou Diarra","France","Midfielder",82,0,31,0,0
"Alvarez","Honduras","Midfielder",180,1,57,1,0
"Amoah","Ghana","Forward",11,0,4,1,0
"Amorim","Portugal","Midfielder",5,1,7,0,0
"Anelka","France","Forward",117,7,37,1,0
"Annan","Ghana","Midfielder",510,4,307,11,0
"Appiah","Ghana","Midfielder",105,1,54,2,0
"Arbeloa","Spain","Defender",13,0,12,0,0
"Arevalo Rios","Uruguay","Midfielder",570,5,195,21,0
"Asamoah","Ghana","Midfielder",480,11,214,9,0
"ColeA","England","Defender",360,0,142,12,0
"Assou-Ekotto","Cameroon","Defender",270,0,116,5,0
"Avraam Papadopoulos","Greece","Defender",270,1,70,8,0
"Ayew","Ghana","Midfielder",389,3,170,15,0
"Ayila Yussuf","Nigeria","Midfielder",90,0,44,1,0
"Badstuber","Germany","Defender",167,0,84,6,0
"Baptista","Brazil","Midfielder",82,0,42,1,0
"Barnetta","Switzerland","Midfielder",227,3,104,5,0
"Barrera","Mexico","Midfielder",149,4,59,2,0
"Barreto","Paraguay","Midfielder",111,2,38,3,0
"Barrios","Paraguay","Forward",308,6,89,2,0
"Barron","New Zealand","Midfielder",1,0,0,0,0
"Barry","Ivory Coast","Goalkeeper",270,0,23,0,8
"BarryG","England","Midfielder",264,2,171,8,0
"Bassong","Cameroon","Defender",163,0,71,3,0
"Bautista","Mexico","Forward",45,0,8,3,0
"Beasley","USA","Midfielder",10,0,4,0,0
"Beauchamp","Australia","Defender",90,0,33,2,0
"Beausejour","Chile","Midfielder",360,2,100,7,0
"Beckmann","Denmark","Midfielder",28,0,8,0,0
"Behrami","Switzerland","Midfielder",31,0,4,1,0
"Belhadj","Algeria","Defender",270,1,146,8,0
"Benaglio","Switzerland","Goalkeeper",270,0,75,0,11
"Bendtner","Denmark","Forward",242,4,70,0,0
"Benitez","Paraguay","Forward",83,2,25,2,0
"Bernardez","Honduras","Defender",90,2,34,4,0
"Bertos","New Zealand","Midfielder",270,0,79,5,0
"Birsa","Slovenia","Midfielder",261,6,61,5,0
"Blanco","Mexico","Forward",112,2,60,3,0
"BoatengGe","Germany","Defender",287,1,125,10,0
"BoatengGh","Ghana","Midfielder",464,12,220,20,0
"Bocanegra","USA","Defender",390,1,130,9,0
"Boka","Ivory Coast","Defender",90,2,50,5,0
"Bolatti","Argentina","Midfielder",98,2,97,4,0
"Bonet","Paraguay","Midfielder",300,0,108,4,0
"Bong","Cameroon","Defender",56,0,12,0,0
"Bornstein","USA","Defender",200,2,72,5,0
"Boudebouz","Algeria","Midfielder",74,3,28,1,0
"Bougherra","Algeria","Defender",270,1,89,11,0
"Boulahrouz","Netherlands","Defender",180,0,81,8,0
"Bradley","USA","Midfielder",390,6,210,9,0
"Bravo","Chile","Goalkeeper",360,0,58,0,4
"Brecko","Slovenia","Defender",270,1,95,5,0
"Bresciano","Australia","Midfielder",132,3,47,1,0
"Brockie","New Zealand","Midfielder",11,0,5,0,0
"Bruno Alves","Portugal","Defender",360,1,166,5,0
"Buddle","USA","Forward",39,1,12,0,0
"Buffon","Italy","Goalkeeper",45,0,4,0,0
"Bunjaku","Switzerland","Forward",13,0,5,0,0
"Burdisso","Argentina","Defender",341,1,167,1,0
"Busquets","Spain","Midfielder",511,0,466,15,0
"Cacau","Germany","Forward",132,4,54,1,0
"Cahill","Australia","Midfielder",146,6,39,1,0
"Camoranesi","Italy","Midfielder",76,2,45,2,0
"Caniza","Paraguay","Defender",90,4,44,1,0
"Cannavaro","Italy","Defender",270,0,138,11,0
"Capdevila","Spain","Defender",540,1,310,10,0
"Cardozo","Paraguay","Forward",204,3,53,2,0
"Carmona","Chile","Midfielder",270,1,175,9,0
"Carney","Australia","Defender",180,0,56,4,0
"Carragher","England","Defender",135,0,74,4,0
"Carvalho","Portugal","Defender",360,2,173,11,0
"Casillas","Spain","Goalkeeper",540,0,67,0,11
"Castro","Mexico","Midfielder",33,0,21,1,0
"Cavani","Uruguay","Forward",435,9,151,11,0
"Cech","Slovakia","Defender",90,0,35,2,0
"Cesar","Slovenia","Defender",270,1,89,2,0
"Cha Du-Ri","South Korea","Defender",270,2,105,3,0
"Cha Jong-Hyok","North Korea","Defender",255,4,74,5,0
"Chaouchi","Algeria","Goalkeeper",90,0,17,0,2
"Charisteas","Greece","Forward",61,0,12,2,0
"Chavez","Honduras","Defender",270,0,62,3,0
"Chedjou","Cameroon","Midfielder",90,2,77,2,0
"Cherundolo","USA","Defender",390,1,180,10,0
"Chiellini","Italy","Defender",270,2,155,7,0
"Chipperfield","Australia","Midfielder",138,2,50,3,0
"Cho Yong-Hyung","South Korea","Defender",360,0,111,10,0
"Choe Kum-Chol","North Korea","Forward",23,1,13,0,0
"Choupo-Moting","Cameroon","Forward",147,2,38,1,0
"Christian Poulsen","Denmark","Midfielder",270,1,179,7,0
"Christie","New Zealand","Midfielder",21,0,9,1,0
"Cisse","France","Forward",55,3,7,1,0
"Clark","USA","Midfielder",121,0,42,4,0
"Clichy","France","Defender",90,0,46,2,0
